"channels","conversions"
"Off-Facebook Installs,Branch,Instagram Installs,Facebook Installs","0"
"Off-Facebook Installs,Organic,Instagram Installs","0"
"Instagram Installs,Leadbolt,Facebook Installs","2"
"Leadbolt,Off-Facebook Installs,Branch","5"
"Branch,Leadbolt,Instagram Installs","0"
"Leadbolt,Instagram Installs","1"
"Off-Facebook Installs,Instagram Installs,Facebook Installs","1"
"Adwords UAC Installs,Branch,Organic","1"
"AppNext,Instagram Installs","1"
"Instagram Installs,Facebook Messenger Installs","0"
"Branch,Off-Facebook Installs,AppNext","6"
"Branch,Adwords UAC Installs,Facebook Installs","7"
"Facebook Installs,Adwords UAC Installs,Instagram Installs","0"
"Leadbolt,Organic,Branch","0"
"Instagram Installs,Branch,Organic","0"
"Facebook Installs,Off-Facebook Installs,Instagram Installs,Branch","1"
"Branch,Instagram Installs,Facebook Installs,Facebook Messenger Installs","5"
"Facebook Installs,Instagram Installs,AppNext","0"
"Branch,Facebook Installs,Adwords UAC Installs,Off-Facebook Installs","1"
"Off-Facebook Installs,Branch,Adwords UAC Installs","1"
"Off-Facebook Installs,AppNext,Branch","3"
"Leadbolt,Branch,AppNext","1"
"Instagram Installs,Facebook Installs,Branch,AppNext","4"
"Instagram Installs,AppNext,Branch","1"
"Organic,Branch,Off-Facebook Installs","2"
"AppNext,Facebook Installs,Leadbolt","0"
"AppNext,Adwords UAC Installs,Branch","0"
"Facebook Installs,Instagram Installs,Off-Facebook Installs,Branch","4"
"Facebook Messenger Installs,Instagram Installs","0"
"Instagram Installs,Branch","578"
"Facebook Installs,Off-Facebook Installs,AppNext","0"
"Off-Facebook Installs,Adwords UAC Installs,Facebook Installs","0"
"Branch,Organic","1480"
"AppNext,Branch,Off-Facebook Installs","1"
"Organic,Off-Facebook Installs","34"
"Leadbolt,AppNext,Branch","0"
"Facebook Installs,Leadbolt,Off-Facebook Installs","1"
"Facebook Installs,Organic,Instagram Installs,Off-Facebook Installs","0"
"Facebook Installs,Facebook Messenger Installs","8"
"Organic,Facebook Installs,Off-Facebook Installs","25"
"Facebook Installs,Instagram Installs,Leadbolt,Branch","0"
"Instagram Installs,Facebook Messenger Installs,Facebook Installs","0"
"Branch,Adwords UAC Installs","331"
"Off-Facebook Installs,Branch,Facebook Installs","105"
"AppNext,Organic","7"
"Facebook Messenger Installs,Facebook Installs","33"
"Branch,Facebook Installs,Facebook Messenger Installs,Instagram Installs","2"
"Leadbolt,Facebook Installs,Off-Facebook Installs,Branch","2"
"Facebook Installs,Off-Facebook Installs,Organic","8"
"Off-Facebook Installs,Leadbolt,Facebook Installs","2"
"Facebook Installs,Branch,Instagram Installs","59"
"Branch,Facebook Installs,Off-Facebook Installs,Instagram Installs","2"
"Organic","15616"
"AppNext,Facebook Installs,Off-Facebook Installs","0"
"Off-Facebook Installs,Instagram Installs,Branch,Facebook Installs","16"
"Organic,Leadbolt","0"
"Facebook Installs,Branch,Organic","52"
"Adwords UAC Installs,Facebook Installs,Branch","5"
"Facebook Installs,Instagram Installs,Off-Facebook Installs","1"
"Adwords UAC Installs,Leadbolt","0"
"Instagram Installs,Branch,Off-Facebook Installs","4"
"Branch,Instagram Installs,AppNext","0"
"Off-Facebook Installs,Organic,Facebook Installs,Branch","0"
"Facebook Installs,Organic,Leadbolt","0"
"Organic,Branch,Facebook Installs","66"
"AppNext,Organic,Branch","0"
"Instagram Installs,Organic","32"
"Facebook Installs,Branch,Off-Facebook Installs,Instagram Installs","1"
"Off-Facebook Installs,Facebook Installs,Instagram Installs,Branch","2"
"AppNext,Off-Facebook Installs,Facebook Installs","3"
"Instagram Installs,Branch,AppNext","0"
"Organic,Facebook Installs,Branch","73"
"Organic,Off-Facebook Installs,Facebook Installs,Facebook Messenger Installs","2"
"Instagram Installs,Facebook Installs,Off-Facebook Installs,Branch","2"
"AppNext,Branch,Leadbolt","1"
"AppNext,Facebook Installs,Branch","10"
"Off-Facebook Installs,Facebook Installs,Facebook Messenger Installs","0"
"Facebook Installs,Off-Facebook Installs,Branch","97"
"Adwords UAC Installs,Branch","409"
"AppNext,Leadbolt,Branch","1"
"Branch,AppNext,Instagram Installs,Facebook Installs","0"
"Off-Facebook Installs,Leadbolt,Facebook Installs,Branch","1"
"Off-Facebook Installs,Instagram Installs,Organic","1"
"Facebook Installs,Leadbolt","45"
"Leadbolt,Branch,Facebook Installs","8"
"AppNext,Facebook Messenger Installs","0"
"Organic,Off-Facebook Installs,Instagram Installs","0"
